alias	normalized_alias	compact_alias	rxcui_count	rxcuis	ttys	original_terms
capsicum extract 1.3 mg/ml	capsicum extract 13 mg ml	capsicumextract13mgml	2	2585448|823948	SCDC	capsicum extract 1.3 mg/ml|capsicum extract 13 mg/ml
carbidopa 3.125 mg	carbidopa 3 125 mg	carbidopa3125mg	2	484490|810082	SCDC	carbidopa 3.125 mg|carbidopa 31.25 mg
carbomer 940	carbomer 940	carbomer940	2	1305738|1362909	IN|SY	carbomer 940|carbomer-940
carbon dioxide 1.3 %	carbon dioxide 13	carbondioxide13	2	393095|393164	SCDC	carbon dioxide 1.3 %|carbon dioxide 13 %
cascara sagrada 32.4 mg	cascara sagrada 32 4 mg	cascarasagrada324mg	2	331328|331637	SCDC	cascara sagrada 32.4 mg|cascara sagrada 324 mg
cetrimide 1.5 mg/ml	cetrimide 15 mg ml	cetrimide15mgml	2	332766|332768	SCDC	cetrimide 1.5 mg/ml|cetrimide 15 mg/ml
chloramphenicol 2.5 mg/ml	chloramphenicol 2 5 mg ml	chloramphenicol25mgml	2	333634|333636	SCDC	chloramphenicol 2.5 mg/ml|chloramphenicol 25 mg/ml
chlorhexidine gluconate 1.2 mg/ml	chlorhexidine gluconate 1 2 mg ml	chlorhexidinegluconate12mgml	2	1294256|346134	SCDC	chlorhexidine gluconate 1.2 mg/ml|chlorhexidine gluconate 12 mg/ml
chlorhexidine gluconate 1.5 mg/ml	chlorhexidine gluconate 15 mg ml	chlorhexidinegluconate15mgml	2	2568122|834193	SCDC	chlorhexidine gluconate 1.5 mg/ml|chlorhexidine gluconate 15 mg/ml
chlorhexidine gluconate topical solution [hexi-dip]	chlorhexidine gluconate topical solution hexidip	chlorhexidinegluconatetopicalsolutionhexidip	2	2656627|2657305	SBDFP	chlorhexidine gluconate topical solution [hexi-dip]|chlorhexidine gluconate topical solution [hexidip]
chlorhexidine topical solution [hexi-dip]	chlorhexidine topical solution hexidip	chlorhexidinetopicalsolutionhexidip	2	1425491|1485608	SBDF	chlorhexidine topical solution [hexi-dip]|chlorhexidine topical solution [hexidip]
chloroxylenol 1.5 mg/ml	chloroxylenol 15 mg ml	chloroxylenol15mgml	2	1043128|2682819	SCDC	chloroxylenol 1.5 mg/ml|chloroxylenol 15 mg/ml
chloroxylenol 1.5 mg/ml topical foam	chloroxylenol 15 mg ml topical foam	chloroxylenol15mgmltopicalfoam	2	2168394|2682820	SCD	chloroxylenol 1.5 mg/ml topical foam|chloroxylenol 15 mg/ml topical foam
chloroxylenol 2.5 mg/ml	chloroxylenol 2 5 mg ml	chloroxylenol25mgml	2	1439954|332783	SCDC	chloroxylenol 2.5 mg/ml|chloroxylenol 25 mg/ml
chloroxylenol 2.5 mg/ml medicated liquid soap	chloroxylenol 2 5 mg ml medicated liquid soap	chloroxylenol25mgmlmedicatedliquidsoap	2	1435989|1439955	SCD	chloroxylenol 2.5 mg/ml medicated liquid soap|chloroxylenol 25 mg/ml medicated liquid soap
chloroxylenol 3.5 mg/ml	chloroxylenol 35 mg ml	chloroxylenol35mgml	2	1370951|2689267	SCDC	chloroxylenol 3.5 mg/ml|chloroxylenol 35 mg/ml
clavulanate 12.5 mg	clavulanate 125 mg	clavulanate125mg	2	1810267|345821	SCDC	clavulanate 12.5 mg|clavulanate 125 mg
clavulanate 2.5 mg/ml	clavulanate 2 5 mg ml	clavulanate25mgml	2	617291|617974	SCDC	clavulanate 2.5 mg/ml|clavulanate 25 mg/ml
clove oil 2.5 mg/ml	clove oil 25 mg ml	cloveoil25mgml	2	1592729|329569	SCDC	clove oil 2.5 mg/ml|clove oil 25 mg/ml
coal tar 1.1 mg/ml	coal tar 11 mg ml	coaltar11mgml	2	331739|647626	SCDC	coal tar 1.1 mg/ml|coal tar 11 mg/ml
codeine phosphate 1.5 mg/ml	codeine phosphate 1 5 mg ml	codeinephosphate15mgml	2	891481|997172	SCDC	codeine phosphate 1.5 mg/ml|codeine phosphate 15 mg/ml
colloidal oatmeal 1.5 mg/ml	colloidal oatmeal 15 mg ml	colloidaloatmeal15mgml	2	1235012|2709426	SCDC	colloidal oatmeal 1.5 mg/ml|colloidal oatmeal 15 mg/ml
comfort caine	comfort caine	comfortcaine	2	1592286|543722	BN	comfort caine|comfortcaine
compazine 2.5 mg rectal suppository	compazine 2 5 mg rectal suppository	compazine25mgrectalsuppository	2	207635|207639	SY|PSN	compazine 2.5 mg rectal suppository|compazine 25 mg rectal suppository
co q-10 100 mg oral capsule	co q 10 100 mg oral capsule	coq10100mgoralcapsule	2	252761|801796	SY	co q-10 100 mg oral capsule|co-q10 100 mg oral capsule
danthron 1.5 mg/ml	danthron 15 mg ml	danthron15mgml	2	332956|438893	SCDC	danthron 1.5 mg/ml|danthron 15 mg/ml
ddi 1.67 mg/ml oral solution	ddi 1 67 mg ml oral solution	ddi167mgmloralsolution	2	309869|486330	SY	ddi 1.67 mg/ml oral solution|ddi 16.7 mg/ml oral solution
denti care	denticare	denticare	2	545696|583549	BN	denti care|denticare
derma gran	dermagran	dermagran	2	1441549|216476	BN	derma gran|dermagran
derma gran topical product	dermagran topical product	dermagrantopicalproduct	2	1173771|1441552	SBDG	derma gran topical product|dermagran topical product
dexamethasone / sodium phosphate	dexamethasone sodium phosphate	dexamethasonesodiumphosphate	2	1009150|48933	TMSY|MIN|TMSY|PIN	dexamethasone / sodium phosphate|dexamethasone sodium phosphate
dexamethasone / sodium phosphate injectable product	dexamethasone sodium phosphate injectable product	dexamethasonesodiumphosphateinjectableproduct	2	1154526|2663011	SCDG|TMSY|TMSY|SCDGP	dexamethasone / sodium phosphate injectable product|dexamethasone sodium phosphate injectable product
dexmethylphenidate hydrochloride 2.5 mg	dexmethylphenidate hydrochloride 2 5 mg	dexmethylphenidatehydrochloride25mg	2	1101925|899556	SCDC	dexmethylphenidate hydrochloride 2.5 mg|dexmethylphenidate hydrochloride 25 mg
dexmethylphenidate hydrochloride 2.5 mg [focalin]	dexmethylphenidate hydrochloride 2 5 mg focalin	dexmethylphenidatehydrochloride25mgfocalin	2	1101927|899558	SBDC	dexmethylphenidate hydrochloride 2.5 mg [focalin]|dexmethylphenidate hydrochloride 25 mg [focalin]
dextroamphetamine saccharate 1.25 mg	dextroamphetamine saccharate 1 25 mg	dextroamphetaminesaccharate125mg	2	1927608|540476	SCDC	dextroamphetamine saccharate 1.25 mg|dextroamphetamine saccharate 12.5 mg
